datetime,Qh,Qtau,Ustar,T_air,Rho_air,Wind_vel,Cd,qc_tot,qc_tot_ext
2023-12-24 17:00:00,-0.53,0.065,0.2229349680960795,-3.1,1.3078470824949695,3.47,0.004127598435332905,1,1
2023-12-24 17:30:00,-0.0,0.065,0.2229349680960795,-3.18,1.3078470824949695,3.02,0.005449322398140431,1,1
2023-12-24 18:00:00,-0.13,0.0348,0.1630950643030009,-3.16,1.3082706766917291,3.21,0.0025814966857852697,1,1
2023-12-24 18:30:00,-3.15,0.0442,0.1838477631085023,-3.21,1.307692307692308,3.21,0.0032802476684038366,1,1
2023-12-24 19:00:00,-1.18,0.0204,0.1248999599679679,-3.17,1.307692307692308,3.32,0.0014152997532297855,1,1
2023-12-24 19:30:00,-0.13,0.0414,0.1780449381476485,-3.13,1.3059936908517351,3.5,0.0025877551020408143,1,1
2023-12-24 20:00:00,-5.52,0.0531,0.2014944167960988,-3.11,1.307881773399015,3.87,0.002710841362364707,1,1
2023-12-24 20:30:00,-12.21,0.0783,0.2447447650104083,-3.13,1.3071786310517528,3.75,0.004259555555555554,1,1
2023-12-24 21:00:00,-5.26,0.0399,0.1746424919657298,-3.23,1.3081967213114751,3.31,0.0027838373143728155,1,1
2023-12-24 21:30:00,-6.31,0.0275,0.1449137674618943,-3.3,1.3095238095238098,3.44,0.0017746078961600842,1,1
2023-12-24 22:00:00,-18.4,0.1036,0.2814249455894058,-3.3,1.308080808080808,4.04,0.004852465444564258,1,1
2023-12-24 22:30:00,-5.52,0.055,0.2049390153191919,-3.35,1.3095238095238095,3.16,0.004206056721679214,1,1
2023-12-24 23:00:00,-14.59,0.0861,0.2565151067676132,-3.28,1.3085106382978724,3.44,0.005560438074634938,1,1
2023-12-24 23:30:00,-16.29,0.1329,0.3187475490101845,-3.26,1.3080708661417322,3.6,0.007839506172839503,1,1
2023-12-25 00:00:00,-10.12,0.0782,0.2445403852127496,-3.36,1.3076923076923077,3.7,0.004368151935719499,1,1
