datetime_utc,Qh,Qle,Qtau,Ustar,Rho_air,Wind_vel,Wind_U_std,Wind_V_std,Wind_W_std,Cd,qc_tot,qc_tot_noCd,qc_tot_ext,qc_tot_noCd_ext
2023-12-01 07:00:00,78.52724563699857,7.222802966000001,0.3820529485900831,0.5485547,1.270187,3.660417,1.008047,0.9902018,0.6930179,0.022458396942104854,1,1,1,1
2023-12-01 07:30:00,42.47034916442126,6.616888197,0.2767817871475147,0.4670578,1.269314,3.439585,0.8783781,0.8542579,0.616428,0.01843865192369319,1,1,1,1
2023-12-01 08:00:00,5.99538644944878,3.095132558,0.1723239044029653,0.3687529,1.267832,2.407333,0.7265725,0.8313215,0.5258264,0.023463810926906237,1,1,1,1
2023-12-01 08:30:00,-9.802621904371644,-0.3116175972,0.1207113219225038,0.3087012,1.267292,2.462522,0.5784032,0.5625644,0.4290242,0.01571507279580658,1,1,1,1
2023-12-01 09:00:00,-8.526275151739236,0.3589107569,0.0522292670491957,0.2029967,1.268103,1.912296,0.6424695,0.4966631,0.3088254,0.011268541866162662,1,1,1,1
2023-12-01 09:30:00,-2.6014928615691977,0.23597070054,0.0419873498344024,0.1818631,1.270149,1.838689,0.5884517,0.3904337,0.2275406,0.00978301284178146,1,1,1,1
2023-12-01 10:00:00,-27.953888623851256,1.9565032884,0.1283498676074412,0.3176143,1.272983,1.875681,0.8061876,0.5357249,0.379291,0.028673594332520837,1,1,1,1
2023-12-01 10:30:00,-5.225050277439966,0.13431330384,0.0374139073466659,0.1713884,1.274391,1.134983,0.3784269,0.4505402,0.2294632,0.022802587746574697,1,1,1,1
2023-12-01 11:00:00,-7.727083512131299,-0.13642684892,0.0410889311890989,0.1795833,1.274777,1.671921,0.4962822,0.4385808,0.3129076,0.011537199174847027,1,1,1,1
2023-12-01 11:30:00,-5.204381280402789,0.16613020051,0.0218111914999955,0.1307326,1.276913,0.9164936,0.2475129,0.4880607,0.1741962,0.02034740004963977,1,1,1,1
2023-12-01 12:00:00,-8.84988094178693,-0.4851429796,0.0541314838238535,0.2058739,1.277924,1.503166,0.4563102,0.4344279,0.2589711,0.018758093469615662,1,1,1,1
2023-12-01 12:30:00,-7.321769200174624,-0.4773513641999999,0.014713517598615,0.1073064,1.27858,1.071841,0.3369598,0.2735055,0.1945918,0.010022833568379711,1,1,1,1
2023-12-01 13:00:00,-7.353184012351553,-0.3458740443,0.0208573998314317,0.1277754,1.278309,1.383133,0.397992,0.2647966,0.1700007,0.008534274585325331,1,1,1,1
2023-12-01 13:30:00,-3.5482958297421,0.3062451991,0.018205093671379,0.1193392,1.279063,1.523589,0.7638655,0.4687494,0.1526049,0.00613522631339537,1,1,1,1
2023-12-01 14:00:00,1.4850855380765875,-0.23675621462,0.0117366716512018,0.09571749,1.281828,2.24888,0.5083901,0.3145441,0.09078357,0.0018115488050312364,1,1,1,1
2023-12-01 14:30:00,-1.480869591348731,-0.5293554075,0.0050517667048499,0.06277682,1.282697,1.383011,0.2504135,0.2301285,0.07751756,0.0020603801454061738,1,1,1,1
2023-12-01 15:00:00,-4.697887812819849,0.22631233874,0.009327383227919,0.08532115,1.282127,1.327643,0.2826112,0.2437045,0.1398219,0.004130006935021513,1,1,1,1
2023-12-01 15:30:00,-0.5022316758211074,0.22942495829,0.0008580029947087,0.02585858,1.284013,1.262212,0.2270026,0.2408773,0.06202578,0.000419705572204418,1,1,1,1
2023-12-01 16:00:00,15.2685363883031,-0.4205328959,0.010849089173832,0.09186526,1.286421,1.12116,0.2183262,0.2184496,0.1287051,0.006713784966471359,1,1,1,1
2023-12-01 16:30:00,-2.8952430940913785,0.6635350579,0.0207380892455981,0.1270742,1.285133,0.8597916,0.331833,0.4597696,0.1462363,0.02184380912201637,1,1,1,1
2023-12-01 17:00:00,-3.252352352459565,0.04850969612,0.0084222136042904,0.08101276,1.284138,0.5947117,0.3672678,0.3958204,0.1756517,0.018556407081248415,1,1,1,1
2023-12-01 17:30:00,-7.432152394032667,0.3843066611999999,0.0234540069476283,0.1350974,1.285921,0.9519915,0.3128082,0.3032102,0.162841,0.020138533436165045,1,1,1,1
2023-12-01 18:00:00,1.095697697611888,-0.2799529364,0.0010223905208985,0.02821063,1.285523,0.8086105,0.2986705,0.2626959,0.09899268,0.0012171576049617879,1,1,1,1
2023-12-01 18:30:00,-3.968654205725549,0.6469176635999999,0.0151898444856271,0.108784,1.284427,1.911654,0.5793833,0.2871621,0.1564669,0.0032382581550148538,1,1,1,1
2023-12-01 19:00:00,-3.3976657535503456,0.7159905317,0.0102833193298275,0.08949122,1.284884,0.8658251,0.474486,0.5704854,0.1810213,0.01068317921529177,1,1,1,1
2023-12-01 19:30:00,-8.439169049830415,0.6080401188,0.0157662664505355,0.1108171,1.284707,1.512707,0.5747797,0.5507143,0.1672073,0.005366658104912058,1,1,1,1
