datetime_utc,Qh,Qle,Qtau,Ustar,T_air,RH_air,P_air,Rho_air,Wind_V,Wind_U,Wind_W,Wind_vel,Wind_W_std,Wind_dir,Qco2,Cd,qc_tot,qc_tot_noCd,qc_tot_ext,qc_tot_noCd_ext
2023-11-30 16:00:00,-14.3422,1.48457,0.0748673867978819,0.240135,269.217,19.536,100363.0,1.29832,0.00164651,-5.63237,-0.0231108,5.63242,0.4069090807539198,0.144981,12.6721,0.0018176943758622425,1,1,1,1
2023-11-30 16:30:00,-1.09479,0.532904,0.0254244896620047,0.139981,269.325,19.0678,100341.0,1.29752,-1.15067,-6.76068,0.191901,6.86058,0.2371746192154632,350.507,0.479991,0.00041630968803347087,1,1,1,1
2023-11-30 17:00:00,-5.25658,0.119729,0.0059115202723446,0.0675032,269.33,19.3807,100328.0,1.29733,-0.558194,-6.03989,0.125259,6.06692,0.324530430006186,355.016,0.0611449,0.00012379758870957751,1,1,1,1
2023-11-30 17:30:00,-12.124,0.795842,0.033098305223104,0.15976,269.376,19.3477,100304.0,1.29679,-0.438706,-5.98482,-0.0668103,6.00125,0.3914843547320888,356.371,2.34523,0.0007086840619930907,1,1,1,1
2023-11-30 18:00:00,-49.2411,6.1585,0.309004580650893,0.488315,269.51,19.0162,100283.0,1.29588,-1.39805,-6.72091,0.318673,6.87217,0.4343167047213358,348.901,17.3773,0.005049081042586118,1,1,1,1
2023-11-30 18:30:00,-20.013,5.66729,0.1127230542969151,0.294789,269.297,19.5997,100302.0,1.29715,-1.44357,-5.02672,0.291668,5.23802,0.3883014293046061,344.528,16.957,0.003167293015446806,1,1,1,1
2023-11-30 19:00:00,-9.76019,2.75974,0.022599793137217,0.132001,269.325,19.2492,100303.0,1.29703,-2.00546,-4.93815,-0.130524,5.33144,0.4459742145012422,337.913,7.73846,0.0006130069389576168,1,1,1,1
2023-11-30 19:30:00,-23.1136,7.13032,0.1256615933504132,0.311141,269.103,19.376,100298.0,1.29804,-1.56928,-4.9496,-0.156701,5.19477,0.4772179795439396,342.267,21.49,0.00358741680953591,1,1,1,1
2023-11-30 20:00:00,-22.6544,4.66834,0.1331484075394013,0.320161,268.856,19.8417,100278.0,1.29897,-1.05667,-5.25807,0.211151,5.36735,0.5440533062118086,348.582,13.5417,0.0035580907710517588,1,1,1,1
2023-11-30 20:30:00,4.715,3.50782,0.0971242974305358,0.273351,268.673,19.9137,100276.0,1.29983,-0.811968,-6.20091,0.273829,6.25984,0.51234753829798,352.492,11.4333,0.0019068426986975182,1,1,1,1
2023-11-30 21:00:00,-35.2505,4.42378,0.1607838997568442,0.351491,268.346,20.2257,100275.0,1.30141,0.125804,-5.5567,0.197262,5.56162,0.6395631321456858,1.50481,9.30099,0.003994163091555881,1,1,1,1
2023-11-30 21:30:00,-21.1847,10.1735,0.4294950017587499,0.574282,268.16,20.6697,100274.0,1.30229,0.268599,-3.9141,0.127879,3.92539,0.8083068724191327,3.82401,43.3977,0.02140349940071321,1,1,1,1
2023-11-30 22:00:00,-11.4455,1.74735,0.0849025847616625,0.255373,268.197,20.4279,100256.0,1.30188,0.0504809,-5.06293,-0.0240482,5.06324,0.5078493871218119,1.17783,4.53795,0.002543858377767788,1,1,1,1
