datetime_utc,Qh,Qle,Qtau,Ustar,Rho_air,Wind_vel,Wind_W_std,Cd,qc_tot,qc_tot_noCd,qc_tot_ext,qc_tot_noCd_ext
2023-12-01 14:30:00,1.227683901908155,-0.2779126206,0.0112725500665557,0.09425775,1.269063,2.324538,0.1070398,0.001644223446751028,1,1,1,1
2023-12-01 15:00:00,-5.160743989785908,0.300382605,0.0188574863259068,0.121851,1.270355,1.678955,0.1624928,0.00526720332106832,1,1,1,1
2023-12-01 15:30:00,1.5758606154696375,0.1148273875899999,0.0148689016354572,0.1082148,1.270007,2.572942,0.1588165,0.0017689409250430455,1,1,1,1
2023-12-01 16:00:00,-12.56293180238627,1.418794791,0.0343641606700444,0.1644081,1.271642,2.007915,0.2861882,0.006704336014833393,1,1,1,1
2023-12-01 16:30:00,-7.523383610962893,0.4006564485,0.0307763713500653,0.1556226,1.271091,3.1611,0.2306612,0.0024236442000152235,1,1,1,1
2023-12-01 17:00:00,-33.42237621865485,2.1727124875,0.1012166573223234,0.2819987,1.273123,2.32684,0.4003693,0.014687949493038414,1,1,1,1
2023-12-01 17:30:00,2.554750093936499,0.23499801162,0.0014085729215693,0.03334393,1.267195,4.813889,0.1215933,4.797792123936124e-05,1,1,1,1
2023-12-01 18:00:00,-3.559643593359703,0.7142073187,0.0188907048999256,0.1219845,1.269801,4.119601,0.1681229,0.0008767968704839028,1,1,1,1
2023-12-01 18:30:00,2.2531310011118326,-0.03095235099,0.0061585483576416,0.069637,1.270264,4.406132,0.09607841,0.00024978427776201344,1,1,1,1
2023-12-01 19:00:00,22.66638930213493,-1.043922402,0.0507366349559927,0.1995717,1.274175,2.589682,0.1290028,0.00593888666119912,1,1,1,1
2023-12-01 19:30:00,17.480019971792295,0.5397443114,0.0191488391307989,0.1226987,1.272251,3.939889,0.127885,0.0009698664802335285,1,1,1,1
2023-12-01 20:00:00,28.19002494778265,-1.8436211536,0.0355234978828642,0.1675975,1.265013,5.57206,0.1561271,0.0009046977363840353,1,1,1,1
2023-12-01 20:30:00,0.3387504485852256,-0.4995084735,0.008452888757328,0.08179145,1.263887,4.925909,0.08265945,0.00027570398653073403,1,1,1,1
2023-12-01 21:00:00,7.394004069519173,0.7796649912999999,0.0326065852273046,0.1606128,1.264389,6.036947,0.1203245,0.0007078244831136325,1,1,1,1
2023-12-01 21:30:00,-25.71639986402544,-0.3664435188,0.0609750125959579,0.2196198,1.264577,7.297253,0.196653,0.0009057830218056353,1,1,1,1
2023-12-01 22:00:00,136.15843242456452,-14.516921946999998,0.3972566430372281,0.5569588,1.281112,3.339452,0.4289824,0.02781606737002233,1,1,1,1
2023-12-01 22:30:00,-81.55571098690316,1.2463303328000002,0.1050351338381682,0.2854303,1.289672,4.321741,0.617338,0.004361970011189582,1,1,1,1
2023-12-01 23:00:00,-199.9506013039987,-8.564506933,0.2871163272783412,0.4723618,1.287232,4.343048,0.6656018,0.011829333590694534,1,1,1,1
2023-12-01 23:30:00,-148.39774343791362,6.063601971,0.4105115295070997,0.5659322,1.282171,2.962325,0.7037383,0.03649752394372611,1,1,1,1
2023-12-02 00:00:00,-190.3543409174167,25.09876049,0.5992002608982858,0.6838768,1.281583,3.183551,0.8036965,0.0461457935291965,1,1,1,1
2023-12-02 00:30:00,-131.91547690466433,22.321437505,0.3460375458732602,0.5204707,1.277726,4.116371,0.7076111,0.015986873990866995,1,1,1,1
2023-12-02 01:00:00,-146.00242205149397,34.06474545,0.6939680450772112,0.7378113,1.275073,4.728009,0.8812037,0.024351965267402235,1,1,1,1
2023-12-02 01:30:00,-90.79221152380354,28.62214428,0.6845301251937448,0.7331118,1.273902,4.68214,0.8897738,0.024516113825830417,1,1,1,1
2023-12-02 02:00:00,-16.75936831814781,4.423956375,0.108467415788169,0.292003,1.272412,3.140956,0.6864794,0.008642729515169248,1,1,1,1
2023-12-02 02:30:00,-53.344238955727775,21.602455027000005,0.2864792235629799,0.4756983,1.266293,2.488163,0.6516061,0.03655152855015389,1,1,1,1
2023-12-02 03:00:00,90.2258024294878,4.407692372,0.7500960771775033,0.7715331,1.260324,1.699576,0.8143427,0.2060762515128812,1,1,1,1
2023-12-02 03:30:00,165.8315729792552,5.600011609,0.4308463537053539,0.5858103,1.255599,1.445285,0.7982356,0.16428844389552166,1,1,1,1
2023-12-02 04:00:00,95.94795655613522,14.393940274,0.6486086028747424,0.7200541,1.251067,2.358506,0.9336357,0.09320866427668456,1,1,1,1
2023-12-02 04:30:00,155.5905861027774,-0.9056973841,0.6567667915389578,0.725587,1.24751,3.546388,1.004447,0.04186070021509136,1,1,1,1
2023-12-02 05:00:00,136.85151026217974,4.089147505,1.1994419910506235,0.9811608,1.245978,2.232469,1.12284,0.19315657824664292,1,1,1,1
2023-12-02 05:30:00,53.650512869914685,1.2473742502,0.3909201789983246,0.5605986,1.243953,3.581599,0.832222,0.024499098142057724,1,1,1,1
2023-12-02 06:00:00,47.97275600639859,8.267883330999998,0.4618396403792397,0.6098307,1.241934,4.890621,0.7512149,0.01554857349505184,1,1,1,1
2023-12-02 06:30:00,19.09097742721499,4.214357569,0.2976397315089825,0.4898092,1.240695,4.795389,0.6473554,0.01043292753402208,1,1,1,1
2023-12-02 07:00:00,10.09030315925414,5.781076506000001,0.5044479391555929,0.6378767,1.23986,2.970645,0.6516647,0.04610754156571316,1,1,1,1
2023-12-02 07:30:00,2.957122221899422,3.364922931,0.4516561914267294,0.6037714,1.239066,1.7973,0.6136267,0.11285061380963425,1,1,1,1
2023-12-02 08:00:00,18.058981078993256,1.9036651616,0.1077544788772547,0.2950097,1.238224,1.215086,0.3997347,0.05894657250988028,1,1,1,1
2023-12-02 08:30:00,2.8030195353778837,1.0092667953,0.042774034384059,0.1860233,1.236199,1.254445,0.3161981,0.021990314424744233,1,1,1,1
2023-12-02 09:00:00,-0.9891836351201988,0.10328197127,0.0175464360400747,0.1192468,1.234075,0.9543583,0.2677752,0.015612431908886214,1,1,1,1
2023-12-02 09:30:00,-2.6238313918947327,0.15617116849,0.0133837422702721,0.1041172,1.23475,2.211352,0.09380977,0.0022168137342666048,1,1,1,1
2023-12-02 10:00:00,-0.9681738658060658,-0.2394004969099999,0.013518199225763,0.1046053,1.235536,2.00469,0.09332884,0.002722782375035235,1,1,1,1
2023-12-02 10:30:00,0.7978810883617856,-0.3744637256,0.0148822901896306,0.1097572,1.235501,0.7686078,0.1336582,0.02039184228893859,1,1,1,1
2023-12-02 11:00:00,10.122426550915444,0.24257381573,0.0102804182593832,0.09110605,1.238709,1.194649,0.1095779,0.005815857912240323,1,1,1,1
2023-12-02 11:30:00,-2.644466568188186,0.2416501214,0.0118370119898858,0.09774353,1.239129,2.732108,0.07179723,0.001279912595761943,1,1,1,1
2023-12-02 12:00:00,0.2833390877421483,-0.07960217814,0.0043768993753587,0.05944701,1.238665,3.109747,0.08634352,0.00036543481195347053,1,1,1,1
2023-12-02 12:30:00,0.7009274165519169,-0.3698571336999999,0.0160707736048843,0.1138542,1.23991,2.845072,0.1068373,0.0016014433820025732,1,1,1,1
2023-12-02 13:00:00,-5.584512936913369,1.1341199666,0.0014104606891657,0.0336908,1.242851,2.931414,0.140534,0.0001320895108353502,1,1,1,1
2023-12-02 13:30:00,-2.503232964478348,-3.196523098,0.0319015941563518,0.1601798,1.24366,3.408466,0.1150392,0.0022085008042145044,1,1,1,1
2023-12-02 14:00:00,4.320442641540295,-3.510025949,0.0367354674131652,0.17179,1.245139,5.022585,0.09252042,0.0011698796022813695,1,1,1,1
2023-12-02 14:30:00,6.839282944016577,0.15046226084,0.0131522127940297,0.102751,1.246166,5.246354,0.1056947,0.00038358086269768836,1,1,1,1
2023-12-02 15:00:00,-4.746680941485734,-1.1656973425,0.0155209351862773,0.1115876,1.246927,5.514473,0.07993605,0.0004094716557570476,1,1,1,1
2023-12-02 15:30:00,0.1693471737541673,-0.3166331026,0.0041899890915821,0.05804027,1.244308,6.632813,0.07445578,7.657082766986101e-05,1,1,1,1
2023-12-02 16:00:00,-4.597471606243581,0.5665782907,0.0044495544806818,0.0597742,1.245899,6.473013,0.09719151,8.527359769438232e-05,1,1,1,1
2023-12-02 16:30:00,-7.659344228206296,0.4093369193,0.016387472554564,0.114679,1.246653,5.324603,0.1240579,0.00046386684194375875,1,1,1,1
2023-12-02 17:00:00,-2.394902827419295,-0.4741630894,0.0031805243597958,0.05048519,1.248481,4.615554,0.05789855,0.00011964107795534605,1,1,1,1
2023-12-02 17:30:00,-1.3222306147911231,0.13409619203,0.0032005527023925,0.05065691,1.247861,5.115558,0.07903245,9.805988142028652e-05,1,1,1,1
2023-12-02 18:00:00,-15.26176180953322,0.7683374621,0.0543598379765845,0.2086718,1.24904,3.991155,0.079891,0.0027335708581821315,1,1,1,1
2023-12-02 18:30:00,-0.379496524974582,0.6456741664000001,0.0097844582793586,0.08850466,1.249725,3.814531,0.04458012,0.0005383317302879747,1,1,1,1
2023-12-02 19:00:00,1.9020887700153368,-0.3977467851,0.0060513797168455,0.06956616,1.251001,5.013324,0.07042535,0.00019255044052669156,1,1,1,1
2023-12-02 19:30:00,-7.477289812401663,0.5272363102000001,0.011560339730359,0.09604933,1.253694,4.364661,0.06035778,0.0004842700865910764,1,1,1,1
2023-12-02 20:00:00,-2.6890950117996737,0.005905266162,0.0077219780385041,0.07847909,1.254423,3.679013,0.08156156,0.00045503549203775923,1,1,1,1
2023-12-02 20:30:00,-24.662258079370712,0.8241622831,0.0187689659977533,0.1221385,1.258832,3.011826,0.06397389,0.0016445436606446978,1,1,1,1
2023-12-02 21:00:00,-7.600260950665908,1.5714538302,0.0091791852944567,0.08523721,1.263988,2.439512,0.1712637,0.0012208225264461702,1,1,1,1
2023-12-02 21:30:00,-42.511997777045735,2.855704325,0.0508343329410823,0.2004537,1.265605,2.337363,0.2111343,0.007354883939477792,1,1,1,1
2023-12-02 22:00:00,-20.392084180123287,12.67184171,0.0539493384921468,0.2061795,1.269577,1.802426,0.2295778,0.0130850708129407,1,1,1,1
2023-12-02 22:30:00,-2.693338679779284,1.0385660103,0.021752861451001,0.1310178,1.267633,1.399014,0.1544835,0.00877034109594242,1,1,1,1
2023-12-02 23:00:00,-2.452089226120283,-1.7547413659000002,0.0046980971021669,0.06092525,1.266138,0.3641837,0.05633678,0.02798682499297261,1,1,1,1
2023-12-02 23:30:00,-2.1984676933847798,1.659798654,0.0022431787006649,0.04210706,1.265681,0.5448489,0.06462806,0.005972520945074836,1,1,1,1
2023-12-03 00:00:00,-8.77155612792959,-0.4433860335,0.0021454461741732,0.04107815,1.271878,0.9268296,0.06212882,0.001964363980962776,1,1,1,1
2023-12-03 00:30:00,-3.791489943013976,1.2706085402,0.0087609375218507,0.08285109,1.276847,1.333334,0.09174373,0.003861166640563201,1,1,1,1
2023-12-03 01:00:00,-3.5648901111321902,1.4732625694,0.0114244819769304,0.09448761,1.280224,1.664646,0.040324,0.0032218546569881277,1,1,1,1
2023-12-03 01:30:00,1.3139815564854869,0.5181221659999999,0.0025281730264152,0.04443857,1.280888,1.944618,0.1031609,0.0005222176518598535,1,1,1,1
2023-12-03 02:00:00,16.795664287406154,7.118436236,0.0403977415507115,0.1776539,1.280791,1.138355,0.2878221,0.02435533193832007,1,1,1,1
2023-12-03 02:30:00,-26.84930545969879,5.719241781999999,0.0217894269475055,0.1306255,1.277858,0.6957995,0.3481068,0.03524420405147257,1,1,1,1
2023-12-03 03:00:00,75.12690865550849,4.78143681,0.0474241076496415,0.1932945,1.270108,1.08116,0.4608317,0.03196384782457743,1,1,1,1
2023-12-03 03:30:00,-27.93969770430608,9.961995705,0.0800890948690971,0.2518849,1.263071,1.615593,0.4441046,0.02430750259387428,1,1,1,1
2023-12-03 04:00:00,102.8197678393071,16.850172374000003,0.2248862040825,0.4233427,1.255547,2.058658,0.6898519,0.04228786331703388,1,1,1,1
2023-12-03 04:30:00,91.87511734324605,10.141464964,0.0792412428723528,0.2518397,1.250163,2.477955,0.6595663,0.010329077979218665,1,1,1,1
2023-12-03 05:00:00,84.51469298422545,1.9931146771,0.0228214126014605,0.1354259,1.245095,2.704167,0.6226037,0.002508051463492669,1,1,1,1
2023-12-03 05:30:00,122.35909009834296,-24.366897862,0.1645377868456438,0.3646404,1.238071,4.013338,0.8159746,0.00825501932150106,1,1,1,1
2023-12-03 06:00:00,42.722698150851656,9.167975724,0.3291282286231074,0.5163189,1.2351,3.94418,0.7078961,0.017136518435303408,1,1,1,1
2023-12-03 06:30:00,28.8927525688955,9.579777879,0.2810566569257084,0.4774868,1.233222,4.30739,0.7483812,0.012288371978783184,1,1,1,1
2023-12-03 07:00:00,16.9787273956083,0.8236678354000001,0.1499578892407321,0.3488758,1.232567,4.189409,0.5680009,0.006934835568911978,1,1,1,1
